Time(s),Red_X,Red_Y,Green_X,Green_Y,Blue_X,Blue_Y
9.219966411590576,140.0,117.0,,,,
9.242993593215942,140.0,117.0,,,,
9.26308822631836,140.0,118.0,,,,
9.284765481948853,140.0,119.0,,,,
9.306108951568604,140.0,122.0,,,,
9.328213214874268,140.0,122.0,,,,
9.349757194519043,140.0,122.0,,,,
9.370518207550049,140.0,122.0,,,,
9.394221305847168,140.0,122.0,,,,
9.41497540473938,140.0,122.0,,,,
9.434613704681396,140.0,122.0,,,,
9.45599365234375,140.0,122.0,,,,
9.477829217910767,140.0,123.0,,,,
9.498915195465088,140.0,127.0,,,,
9.520297527313232,140.0,130.0,,,,
9.541724443435669,140.0,130.0,,,,
9.562874794006348,140.0,130.0,,,,
9.584562063217163,140.0,130.0,,,,
9.606251239776611,140.0,130.0,,,,
9.627510070800781,140.0,130.0,,,,
9.649033546447754,140.0,131.0,,,,
9.670528650283813,140.0,131.0,,,,
9.691896677017212,140.0,131.0,,,,
9.713741302490234,141.0,134.0,,,,
9.734885692596436,142.0,137.0,,,,
9.756243228912354,142.0,137.0,,,,
9.77768874168396,142.0,137.0,,,,
9.798864603042603,142.0,137.0,,,,
9.82057237625122,142.0,138.0,,,,
9.8419771194458,142.0,138.0,,,,
9.863351345062256,142.0,138.0,,,,
9.884936571121216,142.0,138.0,,,,
9.907067775726318,142.0,138.0,,,,
9.92777156829834,143.0,140.0,,,,
9.949143409729004,144.0,143.0,,,,
9.970671653747559,143.0,144.0,,,,
9.992236137390137,143.0,144.0,,,,
10.013628005981445,143.0,144.0,,,,
10.035104751586914,143.0,144.0,,,,
10.05807900428772,143.0,144.0,,,,
10.07836365699768,143.0,144.0,,,,
10.10434865951538,143.0,144.0,,,,
10.12296438217163,144.0,145.0,,,,
10.1428861618042,146.0,149.0,,,,
10.163960695266724,146.0,150.0,,,,
10.185374975204468,146.0,150.0,,,,
10.206952810287476,146.0,150.0,,,,
10.228057622909546,146.0,150.0,,,,
10.249523401260376,146.0,150.0,,,,
10.270946741104126,146.0,150.0,,,,
10.292346477508545,146.0,150.0,,,,
10.314217329025269,146.0,151.0,,,,
10.335396528244019,146.0,151.0,,,,
10.359238624572754,146.0,151.0,,,,
10.3831045627594,146.0,151.0,,,,
10.400251626968384,147.0,153.0,,,,
10.421431303024292,150.0,158.0,,,,
10.44256591796875,151.0,159.0,,,,
10.46506953239441,151.0,159.0,,,,
10.485421180725098,151.0,159.0,,,,
10.507952451705933,151.0,159.0,,,,
10.528728008270264,151.0,159.0,,,,
10.5527822971344,151.0,159.0,,,,
10.572069883346558,151.0,159.0,,,,
10.594363689422607,151.0,159.0,,,,
10.614481687545776,151.0,159.0,,,,
10.63597822189331,151.0,159.0,,,,
10.660207748413086,151.0,160.0,,,,
10.681305408477783,151.0,160.0,,,,
10.70028567314148,151.0,160.0,,,,
10.72181510925293,151.0,160.0,,,,
10.744029998779297,151.0,160.0,,,,
10.765137672424316,151.0,160.0,,,,
10.786086797714233,151.0,160.0,,,,
10.808615922927856,152.0,161.0,,,,
10.828794002532959,155.0,165.0,,,,
10.850208044052124,158.0,168.0,,,,
10.875385284423828,158.0,168.0,,,,
10.897120714187622,158.0,168.0,,,,
10.916717767715454,158.0,168.0,,,,
10.93595004081726,158.0,168.0,,,,
10.957418203353882,158.0,168.0,,,,
10.978966474533081,158.0,168.0,,,,
11.000319957733154,158.0,168.0,,,,
11.021794557571411,158.0,169.0,,,,
11.044923067092896,158.0,169.0,,,,
11.066314935684204,158.0,169.0,,,,
11.087177753448486,158.0,169.0,,,,
11.10779333114624,158.0,169.0,,,,
11.12900996208191,158.0,169.0,,,,
11.150559663772583,158.0,169.0,,,,
11.171922445297241,158.0,169.0,,,,
11.19645094871521,158.0,169.0,,,,
11.218122720718384,158.0,169.0,,,,
11.237176418304443,158.0,169.0,,,,
11.257745027542114,158.0,169.0,,,,
11.279109477996826,158.0,169.0,,,,
11.303301811218262,158.0,169.0,,,,
11.323172569274902,158.0,169.0,,,,
11.344028234481812,158.0,169.0,,,,
11.365020275115967,158.0,169.0,,,,
11.38634967803955,158.0,169.0,,,,
11.408087015151978,158.0,169.0,,,,
11.429433822631836,158.0,168.0,,,,
11.45084547996521,158.0,168.0,,,,
11.472228050231934,158.0,168.0,,,,
