Time(s),Red_X,Red_Y,Green_X,Green_Y,Blue_X,Blue_Y
13.3152494430542,179.0,194.0,,,,
13.334580898284912,178.0,196.0,,,,
13.35553503036499,177.0,203.0,,,,
13.377207040786743,178.0,204.0,,,,
13.398141622543335,177.0,204.0,,,,
13.41960597038269,177.0,204.0,,,,
13.443862676620483,177.0,204.0,,,,
13.464492082595825,177.0,204.0,,,,
13.485581159591675,177.0,204.0,,,,
13.505999565124512,178.0,204.0,,,,
13.52700424194336,178.0,204.0,,,,
13.55125093460083,178.0,204.0,,,,
13.570428133010864,177.0,204.0,,,,
13.591716527938843,177.0,204.0,,,,
13.613184452056885,177.0,204.0,,,,
13.634385585784912,177.0,204.0,,,,
13.655712842941284,177.0,204.0,,,,
13.677200555801392,177.0,204.0,,,,
13.698717832565308,177.0,204.0,,,,
13.719989538192749,177.0,204.0,,,,
13.741349697113037,177.0,204.0,,,,
13.762844324111938,177.0,204.0,,,,
13.784400463104248,177.0,204.0,,,,
13.805949211120605,177.0,204.0,,,,
13.828269243240356,177.0,204.0,,,,
13.848735809326172,177.0,204.0,,,,
13.870215892791748,177.0,204.0,,,,
13.896959781646729,177.0,204.0,,,,
13.91411805152893,177.0,204.0,,,,
13.934772729873657,177.0,204.0,,,,
13.957219123840332,177.0,204.0,,,,
13.977343082427979,177.0,204.0,,,,
14.001523733139038,177.0,204.0,,,,
14.022316455841064,178.0,204.0,,,,
14.043426752090454,177.0,204.0,,,,
14.063868522644043,177.0,204.0,,,,
14.085187435150146,177.0,204.0,,,,
14.106366872787476,177.0,204.0,,,,
14.12763524055481,177.0,204.0,,,,
14.14967966079712,178.0,204.0,,,,
14.170215845108032,177.0,204.0,,,,
14.191946029663086,177.0,204.0,,,,
14.214185953140259,177.0,204.0,,,,
14.234620571136475,177.0,204.0,,,,
14.258570909500122,177.0,204.0,,,,
14.280780792236328,177.0,204.0,,,,
14.30134916305542,177.0,204.0,,,,
14.321147203445435,177.0,204.0,,,,
14.34363079071045,177.0,204.0,,,,
14.364146947860718,177.0,204.0,,,,
14.385615348815918,177.0,204.0,,,,
14.406936883926392,177.0,204.0,,,,
14.427675008773804,177.0,204.0,,,,
14.45084261894226,177.0,204.0,,,,
14.470959901809692,177.0,204.0,,,,
14.492203712463379,177.0,204.0,,,,
14.513509273529053,177.0,204.0,,,,
14.536849975585938,177.0,204.0,,,,
14.557030439376831,178.0,204.0,,,,
14.578425645828247,177.0,204.0,,,,
14.599529266357422,177.0,204.0,,,,
14.621075630187988,178.0,204.0,,,,
14.642242193222046,178.0,204.0,,,,
14.663808584213257,177.0,204.0,,,,
14.685315370559692,177.0,204.0,,,,
14.706748962402344,177.0,204.0,,,,
14.728191614151001,177.0,204.0,,,,
14.749478816986084,177.0,204.0,,,,
14.773445129394531,177.0,204.0,,,,
14.794526815414429,177.0,204.0,,,,
14.813958406448364,177.0,204.0,,,,
14.835299730300903,178.0,204.0,,,,
14.856828927993774,177.0,204.0,,,,
14.878254413604736,178.0,204.0,,,,
14.900195121765137,177.0,204.0,,,,
14.921030282974243,177.0,204.0,,,,
14.942463874816895,177.0,204.0,,,,
14.963879108428955,177.0,204.0,,,,
14.985418319702148,177.0,204.0,,,,
15.006967544555664,177.0,204.0,,,,
15.028262615203857,177.0,204.0,,,,
15.050024271011353,178.0,204.0,,,,
15.071218490600586,177.0,204.0,,,,
15.094565629959106,177.0,204.0,,,,
15.114508390426636,177.0,204.0,,,,
15.135902166366577,177.0,204.0,,,,
15.15724778175354,177.0,204.0,,,,
15.178699254989624,177.0,204.0,,,,
15.200572967529297,177.0,204.0,,,,
15.221451997756958,177.0,204.0,,,,
15.245362758636475,177.0,204.0,,,,
15.267541408538818,177.0,204.0,,,,
15.28646969795227,177.0,204.0,,,,
15.307843923568726,177.0,204.0,,,,
15.329039573669434,177.0,204.0,,,,
15.352473258972168,178.0,204.0,,,,
15.373985052108765,177.0,204.0,,,,
15.394078493118286,177.0,204.0,,,,
15.415623188018799,177.0,204.0,,,,
15.436325311660767,177.0,204.0,,,,
15.457648277282715,177.0,204.0,,,,
15.478989839553833,178.0,204.0,,,,
15.500292301177979,177.0,204.0,,,,
